# term	zh	abbr	definition	status	matched_concept_id	gbt_id
magnetic confinement fusion	磁约束核聚变	MCF	利用强磁场将高温度和高密度等离子体约束足够长的时间而产生的核聚变反应，可以通过托卡马克(2.1.284)、仿星器(2.1.273)、反场箍缩(2.2.117)、Z箍缩(2.1.306)以及 θ 箍缩(2.1.283)等途径实现。	new		2.1.1
magneto-acoustic cyclotron instability	磁-声回旋不稳定性		起因于快阿尔芬波(或磁声波)和离子伯恩斯坦波之间能量的交换的不稳定性，其自由能由非热高能离子(例如，聚变产物)提供。 注：这种不稳定性发生在波与平衡磁场垂直传播时。	new		2.1.176
magnetohydrodynamics	磁流体动力学	MHD	研究导电流体(液体和等离子体)与磁场相互作用的运动的科学。又称为流体磁学(hydromagnetic)。	exists	magnetohydrodynamics	2.1.177
magnetohydrodynamic shock wave	磁流体动力学激波		在等离子体中传播的激波。它的波前深度超过平均自由程。因此，波前的主要耗散机制是等离子体的电阻及粒子之间的碰撞。	new		2.1.178
magnetohydrodynamic turbulence	磁流体动力学湍流		在经典的磁流体力学描述中，速度和压力都发生不规则变化的运动磁流体。	new		2.1.179
magnetosonic waves	磁声波		传播取决于介质温度的磁流体动力学波。这些波类似于声波，其不同之处在于粒子的运动方向和波的传播方向并不总是平行的。	new		2.1.180
major plasma radius	等离子体大半径			conflict	major-plasma-radius|plasma-major-radius	2.1.181
magnetohydrodynamic instability	磁流体动力学不稳定性	MHD	等离子体中由磁场能量及带电粒子动能驱动的不稳定性。等离子体密度梯度也会影响这种不稳定性的位置。	new		2.1.182
microinstabilities; microscopic instability	微观不稳定性		等离子体不稳定性的一种类型，涉及速度空间中的变化，不能用磁流体动力学描述，其特征长度类似于粒子拉莫尔半径。	new		2.1.183
mathbfB 位形 minimum average B configuration	平均极小		在环形系统中，沿着一条磁力线在平均的意义上实现最小B的磁场位形。	new		2.1.184
minimum B configuration	极小B位形		等离子体约束技术中的一种位形。在这种位形中等离子体处在最小磁势的区域中。在离开该区的所有方向上，磁场强度都是随着离开所约束的等离子体的距离的增大而增强。这种位形有利于稳定性。	new		2.1.185
minor radius	等离子体小半径		等离子体截面在赤道面上水平尺寸的一半。在等离子体分布范围内，离等离子体中心的径向距离。参见等离子体几何位形(2.1.220)。	exists	plasma-minor-radius	2.1.186
mirrorinstability	磁镜不稳定性		在磁镜位形中，当等离子体粒子在垂直于磁场方向的能量分量大于纵向能量分量时，可能出现的电磁微观不稳定性。此时，粒子将集聚在磁镜之间的中心平面上。结果，由于中心平面中的等离子体压强的作用使磁力线膨胀，使磁镜比增大。这又进一步增强了粒子在中心平面的集聚。当等离子体能量足够大时，磁场膨胀的速度加快，并且变得不稳定。	new		2.1.187
mirror ratio	磁镜比		在磁镜位形中，在轴上磁场最强的磁场强度 B_m 与轴上最弱的磁场强度 B_0 之比，见式(2) R = B _ {\mathrm {m}} / B _ {0} \quad \dots \tag {2} 这个比值表示了磁镜的约束性能。	new		2.1.188
mode number	模数		不稳定性模式在一定空间尺度内的周期数。	new		2.1.189
monster sawteeth	巨形锯齿		发生在托卡马克(2.1.284)等离子体中心，具有锯齿状振幅变化的大尺度内部磁流体动力学扰动。	new		2.1.190
multifaced asymmetric radiation from the edge	边缘的多面非对称辐射	MARFE	边缘的多面形状非对称辐射(MARFE)通常形成在等离子体环的内侧边缘。当等离子体边缘密度高时，有时会形成一个冷的、强辐射等离子体的环向对称带。起因是沿边缘磁力线流动的功率和辐射的局部功率损失之间的不平衡。MARFE在时标 10mssim 100ms 内迅速增长，但它能持续数秒。在某些情况下，MARFE导致破裂。而在另一些情况下，其主要后果是减小边缘密度。	new		2.1.191
multipole geometry configuration	多极几何位形		由固定在支架上或漂浮于环中的几个载平行电流的导体环组成的环形位形。这些环形电流产生多极磁场 (n = 2 为四极场， n = 4 为八极场)，多极磁场叠加在初始约束磁场上，可以产生平均极小磁场位形。例如，约飞棒形成的位形。	new		2.1.192
negativemassinstability	负质量不稳定性		由磁场不均匀性引起的静电微观不稳定性。如果粒子的角向运动中馈入能量，其轨道直径和旋转周期都增大。因此，正角向方向的力，使粒子产生相位滞后和角向聚束。粒子的行为，好像它们具有负的质量一样，在外力的相反方向上产生位移。	new		2.1.193
neo-classical tearing mode	新经典撕裂模	NTM	由撕裂模产生的磁岛扰动使自举电流发生改变，这进一步放大磁岛并使约束变坏，甚至导致破裂。	exists	neoclassical-tearing-mode	2.1.194
neo-classical theory	新经典理论		加入环形效应修正的经典碰撞等离子体输运理论。	new		2.1.195
neo-classical transport	新经典输运		在环形磁约束系统中，考虑了等离子体环效应的经典输运理论。由于环效应的存在，等离子体依照带电粒子碰撞频率分为碰撞频率高的流体区、碰撞频率低的俘获粒子区(香蕉区)和两者之间的过渡区，即平台区。新经典理论确定输运系数时，考虑到磁场的环形位形并包括库仑碰撞效应，输运系数一般是对磁面平均后的等效输运系数。	exists	neoclassical-transport	2.1.196
neutral drag instability	中性拖曳不稳定性		由下述原因产生的静电宏观不稳定性：运动着的等离子体，与周围的中性气体之间的摩擦，使作用在离子和电子上的拖曳力有所不同。这种差异又导致电荷分离。它产生的横向电场，使等离子体横越磁场偏转。	new		2.1.197
neutralized plasma	中性化等离子体		没有净电荷的等离子体。	new		2.1.198
non-circular cross section	非圆截面		垂直高度比水平宽度大的等离子体截面。	new		2.1.199
null point	零点		偏滤器位形中磁场为零的 X 点。	new		2.1.200
open magnetic configuration	开端磁位形		磁力线在等离子体区外闭合的磁位形。这种位形包括有磁镜位形、会切位形和混合位形。	new		2.1.201
operating point	运行点		运行空间中的特定点。	new		2.1.202
operating space	运行空间		由 n 个参数确定的空间中的一系列可稳定运行区域。	new		2.1.203
optimized shear	优化剪切		通过调节电流分布可以改善托卡马克(2.1.284)约束性能的剪切位形。	new		2.1.204
parametric instability	参量不稳定性		在等离子体中，振幅超过某一阈值的调制波通过模耦合相互作用而使另外的波出现的非线性不稳定性。	exists	parametric-instability	2.1.205
particle confinement time	粒子约束时间		表征参与热核反应的粒子在特定区域约束性能的特性参量，在数量级上它等于当源项不存在时粒子数损失到它的(1/e)倍时所需要的时间。	exists	particle-confinement-time	2.1.206
passing particles	通行粒子		环形磁约束装置中，未进入"香蕉轨道"而被捕获的粒子。	exists	passing-particle	2.1.207
pedestal physics	台基物理		出现在H模中磁分界面之内的输运屏障，其边界等离子体的陡峭压强剖面呈现类似建筑物支柱的台基形状。	new		2.1.208
peeling mode	剥离模		当等离子体边缘处的电流密度为非零时存在的边缘MHD不稳定性。与ELM也有关系。	new		2.1.209
Pfirsch-Schulueter regime	普费尔施-施吕特尔状态		托卡马克(2.1.284)等离子体中的一种输运状态，其特征是平均自由程比连接长度短。在此状态中扩散系数为经典值的 q^2 倍(此处安全因子 q 大于或等于1)。	new		2.1.210
pinch effect	箍缩效应		当等离子体中沿轴向通过电流时，产生极向磁场，该磁场向内的径向电动力使等离子体在径向受到压缩的效应。	new		2.1.211
plasma	等离子体		正负电荷相等的由电子和被电离原子的核及中性粒子组成的混合体系。	exists	plasma	2.1.212
plasma chemistry	等离子体化学		研究由等离子体诱发的，或在等离子体环境下发生的化学过程的学科。 注：等离子体中存在各种化学活性很强的粒子，从而引发在一般条件下不易发生的化学反应，利用这些化学过程可以对物质进行处理和合成新材料。	new		2.1.213
plasma confinement	等离子体约束		高温等离子体因受其内部压强的作用要向四周散开，同时能量会损失，若等离子体再与器壁相碰，它的温度就会急剧下降，因此必须用某种方法将这团高温等离子体维持住，使其有足够的时间进行热核聚变反应。	exists	plasma-confinement	2.1.214
plasma current	等离子体电流		等离子体中的带电粒子的集体定向运动。在托卡马克(2.1.284)中值环向流过等离子体的电流。	exists	plasma-current	2.1.215
plasma diffusion and mobility	等离子体扩散与迁移		由等离子体密度梯度和电场的作用造成的输运。 注：无磁场时等离子体中有起因于密度、速度、温度和静电势梯度的粒子、动量、能量和电荷的4种输运，它们分别导致粒子的扩散、黏滞性、热传导和迁移。在有磁场时，等离子体中存在着机制更为复杂的扩散、黏滞性、热传导和迁移过程。	new		2.1.216
plasma elongation	等离子体拉长度		等离子体横截面的高宽之比。	exists	plasma-elongation	2.1.217
plasma equilibrium	等离子体平衡		具有一定分布和几何位形的达到电磁力和热压力平衡的一种等离子体状态。	exists	plasma-equilibrium	2.1.218
plasma frequency	等离子体频率		在相对固定的离子对电子空间电荷的吸引所产生的恢复力的作用下，电子集体运动所引起的等离子体振荡的自然频率。 注：此频率正比于电子密度的平方根。	exists	plasma-frequency	2.1.219
plasma geometry	等离子体几何位形		等离子体截面的位置和形状。参见等离子体大半径(2.1.181)、等离子体小半径(2.1.186)、环径比(2.1.18)、拉长比(2.1.92)和三角形变(2.1.290)。	new		2.1.220
plasma instability	等离子体不稳定性		在等离子体内出现某种扰动时，如果扰动的强度随时间而增长，则等离子体具有不稳定性。等离子体不稳定性分为流体不稳定性和动力学不稳定性，也可分为宏观不稳定性和微观不稳定性。	exists	plasma-instability	2.1.221
plasma neutrality and debye shield	等离子体中性与德拜屏蔽		没有外部扰动时，等离子体中空间电荷分别相互抵消，是宏观电中性的，称等离子体电中性。偏离电中性会产生很强的电场，使电荷偏离极快得到纠正，故电场作用于一定距离内，此距离外电场被屏蔽。	new		2.1.222
plasma oscillation	等离子体振荡		等离子体中由于各种原因产生电荷分离后，其电子与离子围绕其重心振荡的现象。由于离子比电子重得多，通常是电子作振荡运动而离子近乎静止。这种振荡是等离子体最基本的固有特征，其振荡频率亦称朗缪尔频率。振荡时粒子动能与静电位能不断交换直至碰撞或其他阻尼使能量耗散。振荡频率只与粒子密度有关，而与粒子温度无关。	new		2.1.223
plasma parameters	等离子体参数		表征等离子体特性并能在实验上确定的物理量。例如：密度、温度、电流、约束时间以及比压值等。	new		2.1.224
plasma pressure	等离子体压强		等离子体密度和温度的乘积。在磁约束装置中，利用磁力平衡的这种向外压力。	new		2.1.225
plasma profiles	等离子体分布		等离子体截面上的参数分布剖面(常为电子或离子的密度和温度径向分布)。	new		2.1.226
plasma purity	# 等离子体纯度		表示等离子体被燃料(氘和氚)以外的物质污染的程度。可能污染等离子体的杂质主要来自器壁，亦可来源于燃料中的杂质或聚变反应产物(例如，氦)。	new		2.1.227
plasma radiation	# 等离子体辐射		从等离子体中发射的电磁辐射，主要包括线辐射、符合辐射和韧致辐射。	new		2.1.228
plasma rotation	# 等离子体旋转		沿环向和极向方向等离子体的旋转。	exists	plasma-rotation	2.1.229
plasma sheath	# 等离子体鞘		电中性的等离子体和与它接触的固体表面之间形成的过渡区。尽管等离子体本身差不多是等电位区，但等离子体鞘内具有强电位梯度，并不保持电中性。也称为鞘(sheath)。	exists	debye-sheath	2.1.230
plasma shock wave	# 等离子体激波		在等离子体中，由压缩波形成的速度、压强、密度、温度或磁通量的间断面，以大于阿尔芬速度(相对于还未被它穿透的等离子体)的传播。根据激波能量耗散过程的性质，可分为磁流体动力学激波和无碰撞激波。	new		2.1.231
plasma temperature	# 等离子体温度		离子或电子随机动能的度量，通常以K(热力学温度)或电子伏(动理学温度)为单位。	exists	plasma-temperature	2.1.232
plasma volume	# 等离子体体积		磁约束装置中被约束的等离子体容积。	new		2.1.233
plasma wave	# 等离子体波		包括组成等离子体的粒子和电磁场的振荡在内的等离子体扰动的传播。	new		2.1.234
plasmoid	# 等离子体团		电子、离子和中性粒子的单个聚团，其存在时间比粒子间碰撞时间长很多倍。	new		2.1.235
plateau regions	# 坪区		等离子体碰撞的一个区间，其有效库仑碰撞频率等于或大于极向渡越频率，但是平均自由程长度小于连接长度。在这种状态下，输运系数与碰撞频率无关。	new		2.1.236
poloidal beta, beta poloidal	# 极向比压值		等离子体极向比压值 (β_p) 是等离子体压强与极向磁压强之比。通常作为电流对等离子体约束能力的量度。	new		2.1.237
poloidal direction	# 极向		在等离子体横截面上环绕磁轴的方向。	exists	poloidal-direction	2.1.238
poloidal field	极向场	PF	由环向电流产生的沿极向方向的磁场。主要用于等离子体的平衡和约束。	exists	poloidal-field	2.1.239
power threshold	功率阈值		通常指发生低约束模到高约束模(L-H)转换所需要的最低加热功率值。	exists	power-threshold	2.1.240
profile	分布		等离子体参数在横截面上随磁通量面的变化。	new		2.1.241
Project Sherwood	雪伍德计划		20世纪50年代和60年代期间美国受控聚变规划。	new		2.1.242
pseudosonic waves	腹声波		离子和电子位移速度几乎相等时的低频离子波其相速度与频率无关，即没有色散。这些波类似于普通介质中的声波，但不同的是，非中性化形成的空间电荷电场会使离子和电子的集体运动之间产生耦合。	new		2.1.243
q limit	安全因子极限		q 极限 保证托卡马克(2.1.284)稳定运行所需要的边界安全因子的最低值。在托卡马克中，这个值通常大于2。	new		2.1.244
radiated power	辐射功率		等离子体中通过多种机制辐射出的功率，包括线辐射、韧致辐射和同步加速器辐射等。	new		2.1.245
radio frequency wave	射频波		RF波 频率范围主要在 20MHzsim 200GHz 之间的电磁波。射频波常用于提供等离子体辅助加热和电流驱动。参见射频加热(2.2.118)。	new		2.1.246
ramp-down time	斜降时间		停止等离子体并熄火所需的时间，包括等离子电流的减小和随后的等离子体温度降低。	new		2.1.247
ramp-up time	斜升时间		启动等离子体并加热到点火温度所需的时间。包括等离子体温度的升高和随后的等离子电流增大。	exists	ramp-up-time	2.1.248
recombination coefficient	复合系数		单位体积中正离子与电子或负离子的复合率除以正离子密度和电子(或负离子)密度之积。	new		2.1.249
recombination radiation	复合辐射		离子与电子复合时产生的辐射。	exists	recombination-radiation	2.1.250
recycling	再循环		等离子体中逃逸出来的粒子会进入面向等离子体的材料，并再次放出，返回等离子体的过程。	exists	recycling	2.1.251
resistive ballooning modes	电阻气球模		存在电阻效应时表现为不稳定的一类气球模，它在没有电阻时可能是稳定的。	new		2.1.252
resistive instability	电阻不稳定性		由于等离子体的有限电导率而引起的不稳定性。	exists	resistive-instability	2.1.253
resistive wall mode	电阻壁模	RWM	存在于非理想导体壁条件下的外扭曲磁流体不稳定性，它随着磁场穿透壁的时间增长，通常需要使用外部控制线圈来控制。	exists	resistive-wall-mode	2.1.254
resonant magnetic perturbation	共振磁扰动	RMP	与不稳定性时空结构(或频率和相位)相匹配的外加磁扰动。	exists	resonant-magnetic-perturbation	2.1.255
ripple	波纹		因托卡马克(2.1.284)中环向场线圈的有限个数引起环向磁场值的周期性变化。	new		2.1.256
rotational transform	旋转变换		在大多数环形位形约束磁场中，从横截面内某一点出发的磁力线，绕大环一周后不回到出发点，而相交此横截面于另一点，绕大环一周后的交点与初始点相对于磁轴转动的角度称为旋转变换。	exists	rotational-transform	2.1.257
runawayelectrons	逃逸电子		等离子体中从外加电场获得动量的速率大于因碰撞损失动量的速率而脱离热平衡的电子。由于碰撞截面随速度增大而降低，这些电子会被持续加速。	exists	runaway-electron	2.1.258
safety factor	安全因子		q 旋转变换的倒数，是环形装置中磁力线螺旋旋转程度的一种量度。稳定的等离子体平衡要求安全因子的值大于1。	exists	safety-factor	2.1.259
sausage instability	腊肠不稳定性		在有强轴向电流的等离子体柱中，可能发生的磁流体动力学不稳定性。由于某种扰动使磁化等离子体柱某些地方收缩，截面变细。由于电流产生的极向磁场与等离子体半径成反比，使该处磁场增强，而增强的磁场将进一步压缩等离子体，使该处的柱半径继续缩小，等离子体柱变成腊肠形状，最后将等离子体柱切断。	exists	sausage-instability	2.1.260
sawtooth; sawteeth	锯齿		等离子体中心温度和密度的周期性张弛振荡，在软X射线的测量信号上表现为锯齿状。	exists	sawtooth	2.1.261
sawtooth crash	锯齿崩塌		锯齿活动中托卡马克(2.1.284)芯部局部破裂，中心温度快速崩塌的现象。	exists	sawtooth-crash	2.1.262
scrape-off layer	刮削层	SOL	等离子体边界的一个区域，这个区域在等离子体最后一个封闭磁面之外。	exists	scrape-off-layer	2.1.263
screw instability	螺旋不稳定性		正柱螺旋不稳定性 positive-column screw instability 在有强纵向(轴向)磁场的等离子体柱中，当存在轴向电场时，对密度的螺旋形扰动而出现的静电宏观不稳定性。 注：轴向电场使得这种螺旋形的电子云和离子云沿磁力线向相反方向运动，导致电荷分离。由于螺旋对称性，使空间电荷产生的电场是角向的，这个角向电场引起径向电漂移，使得密度扰动增长，便出现不稳定性。	new		2.1.264
second stability	第二稳定性		气球模在等离子体压强梯度超出第一稳定区域时重新达到稳定的性质。	new		2.1.265
second stability regime	第二稳定性区		在高等离子体压强下气球模仍然处于稳定的区域，其等离子体压强高于第一稳定区压强极限。	new		2.1.266
separatrix	分界面		使与壁相交的磁力线(开放力线)和不与壁相交的封闭磁力线(封闭线)分开的边界。	exists	separatrix	2.1.267
separatrix points	分界线点		分界线上极向磁场为零的点。	new		2.1.268
scaling laws	定标律		表示各种等离子体参数(例如：约束、功率阈值等)随托卡马克(2.1.284)运行条件变化的经验或半经验的表达式，它是通过大量实验数据总结出来的。	exists	confinement-scaling	2.1.269
screw pinch	螺旋箍缩		螺旋箍缩是一种 θ 箍缩，其中轴向电流产生极向磁场，加上纵向场，形成一种螺旋场位形。	new		2.1.270
single fluid model	单流体模型		将等离子体作为一种磁化的导电流体，而不区分电子和离子的不同行为的模型。	new		2.1.271
single-null equilibrium	单零平衡		参见双零平衡(2.1.67)。	new		2.1.272
stellarator	仿星器		用外部螺旋线圈产生极向磁场的环形磁约束装置[不同于托卡马克(2.1.284)利用等离子体电流产生极向场]。有多种不同的仿星器位形，参见螺旋器(2.2.54)以及先进的螺旋仿星器(2.2.51)。	exists	stellarator	2.1.273
stochastic heating	随机加热		在非均匀约束磁场中，由于在每个点上与磁场垂直的电场的作用而引起的无碰撞等离子体加热，像本底噪声随时间无规律变化那样。这类加热是由于电场达到粒子的回旋频率或其谐波的频率时发生回 旋共振所致。	new		2.1.274
super Alfvenic velocity	超阿尔芬速度		速度大于阿尔芬速度，是与磁流体动力学行为有关的典型速度。在托卡马克(2.1.284)中高能粒子具有超阿尔芬速度。	new		2.1.275
superthermal radiation	超热辐射		不是由热粒子，而是由高能粒子在回旋频率范围内产生的电磁辐射。	new		2.1.276
toroidal Alfven eigen modes	环形阿尔芬本征模	TAE	由于环形效应引起的阿尔芬间隙模。	exists	toroidal-alfven-eigenmode	2.1.277
tearing mode instability	撕裂模不稳定性		由于等离子体中电流存在耗散效应，而使磁力线不再冻结而物质可横越磁场而发生的电磁宏观不稳定性。	new		2.1.278
tearing magnetic islands	撕裂磁岛		由撕裂模引起的，改变原约束磁场的拓扑形态而形成的"岛状"结构。	new		2.1.279
tearing mode	撕裂模		在托卡马克(2.1.284)中理论上预言的一类电阻磁流体动力学不稳定性。已在实验上被肯定。参见撕裂模不稳定性(2.1.278)。	exists	tearing-mode	2.1.280
thermal particles	热粒子		处于热平衡状态的例子(区别于远高于热平衡的高能粒子)。	new		2.1.281
thermal nuclear fusion	热核聚变		利用高温实现聚变的反应。	exists	thermonuclear-fusion	2.1.282
theta-pinch	θ 箍缩		利用极向电流和轴向磁场约束圆柱形几何位形中的等离子体的一种磁约束概念。	exists	theta-pinch	2.1.283
Tokamak	托卡马克		环流器 意为环形真空磁室，托卡马克一词来自俄语的单词缩写。 注：其磁场是由环形面上的螺旋形力线构成的，由外部场线圈和等离子体自身电流产生。迄今是在等离子体的磁约束研究中最成功的装置类型。	exists	tokamak	2.1.284
transport barrier	输运垒		在某种运行模式下(例如，H模)，可能存在一个低输运区域，它对应于陡的压强梯度。这样的区域被称为输运垒。	exists	transport-barrier	2.1.285
transport matrix coefficient	输运矩阵系数		描述等离子体各种输运过程的系数。	new		2.1.286
transport scaling	输运定标		用经验的或理论的方法将输运系数表示成若干等离子体参数的函数。	new		2.1.287
trapped particles	俘获粒子		环形磁约束装置中，由于能量和磁矩守恒，不能沿环向通行，被限制在一定的区域内往返运动的粒子。	exists	trapped-particle	2.1.288
trapped-particle instability	俘获粒子不稳定性		在环形位形中，由俘获粒子效应引起的不稳定性。	new		2.1.289
triangularity	三角形变		等离子体截面的三角变形程度的一种量度。参见等离子体几何位形(2.1.220)。	exists	plasma-triangularity	2.1.290
triple-alpha process	三阿尔法过程		将3个氦核(阿尔法粒子)结合成一个碳核的聚变反应。	new		2.1.291
Troyon beta limit	特罗荣比压极限		参见 β 极限(2.1.24)。	exists	troyon-limit	2.1.292
turbulent heating	湍流加热		通过湍流效应使将粒子的定向有序运动能量转换成无规运动的热能，而使等离子体加热的方法。其能量转换过程是由于激发各种微观不稳定性所致，湍流加热过程很快，但也可能引起粒子和能量的反常损失。	new		2.1.293
turbulent transport	湍流输运		由等离子体湍流导致的输运。	exists	turbulent-transport	2.1.294
two-fluid model and multi-fluid model	双流体模型和多流体模型		将等离子体表示成相互作用的电子和离子以及杂质离子等组成的流体的一组方程。参见单流体模型(2.1.271)。在考虑到杂质效应时就变成多流体模型。	new		2.1.295
two-stream instability	双流不稳定性		两种粒子流的速度分布峰值相差较大时能发展起来的不稳定性。例如，通过冷等离子体的高能电子流能够激发依靠消耗电子动能而快速增长的离子波。	new		2.1.296
universal Alfven-wave instability	普适阿尔芬波不稳定性		由于阿尔芬波和漂移波之间的共振而产生的电磁普适漂移不稳定性。	new		2.1.297
velocity space instability	速度空间不稳定性		因粒子速度分布偏离热平衡状态而引起的一类不稳定性。	new		2.1.298
vertical displacement event	垂直位移事件	VDE	整体等离子体在偏离其平衡位置向上(或向下)运动期间发生的不稳定性事件。高拉长比的等离子 体更有发生这种事件的倾向。	exists	vertical-displacement-event	2.1.299
Vlasov equation	伏拉索夫方程		描述碰撞平均自由程远大于系统特征长度时的高温等离子体的动理学方程。	exists	vlasov-equation	2.1.300
voltage loop	环电压		由欧姆变压器驱动的，用以建立托卡马克环电流的电压。	exists	loop-voltage	2.1.301
whistler wave	哨声波		在等离子体中沿着平行于磁场方向传播的、频率低于电子回旋共振频率的右旋圆偏振波。	new		2.1.302
whistler wave instability	哨声波不稳定性		由于电子与哨声波交换能量而引起的电磁微观不稳定性。它类似于阿尔芬波不稳定性，但是，它在接近于离子回旋频率的频区(此时，绝热不变性消失)出现。在固态等离子体中，相应的不稳定性称为螺旋波不稳定性(helicon wave instability)。	new		2.1.303
X-point	X点		参见单/双零(2.2.122)。	exists	x-point	2.1.304
Z-effective	有效电荷数		Zeff 等离子体的等效电荷数。 Z_eff 是等离子体杂质含量的一种量度。对于纯D-T等离子体， Z_eff = 1.0 。	exists	z-effective	2.1.305
Z-pinch	Z 箍缩		沿轴向(Z向)流动的等离子体电流将等离子体约束在圆柱形几何位形中的磁约束概念。 2.2 工程	exists	z-pinch	2.1.306
air core transformer	空芯变压器		不采用铁芯，原边采用线圈和副边为等离子体的变压器。	new		2.2.1
auxiliary heating power	辅助加热功率		辅助加热的功率。 注：通常提及的被等离子体吸收的功率和与辅助加热系统注入的加热功率会有不同。	new		2.2.2
baffle element	阻隔部件		为限制偏滤器空间和主真空室空间之间的粒子相互传导而设的阻挡部件。	new		2.2.3
balanceburning	平衡燃烧		聚变 α 粒子和外部电源的等离子体加热与传导、对流和辐射等引起的等离子体损失之间的稳态平衡。	new		2.2.4
beamlines	束线		特指一段位于中性束源与等离子体圆环面间的输运管道结构(包含中性化区、离子偏离及大体积抽空等设备部件)。束线是中性束注入器的重要组成部分。	exists	beamlines	2.2.5
Bittercoil	# 比特线圈		以发明人比特命名的，能建立强磁场的一种特殊结构的线圈。由匝间相间以绝缘材料的铜板经一开缝串联而构成一线圈绕组。线圈材料为常规铜合金，线圈有水冷及液氮冷却等形式。通常也称为比特板线圈。	new		2.2.6
boronisation	# 硼化		把含硼的化合物升华、沉积到真空室内表面以帮助降低杂质辐射的技术。参见辉光放电清洗(2.2.47)。	exists	boronization	2.2.7
bumper limiters	# 缓冲限制器		在托卡马克中，为了避免真空室内表面直接暴露于等离子体的部分受到等离子体带电粒子的轰击，而在无第一壁材料的部分空间设置的缓冲孔栏(如石墨块)。	new		2.2.8
bumpy torus	# 波纹环		美国国家航空和航天局刘易斯的波纹环有12个超导线圈环向排列在大型真空容器中。目的是要在闭合磁场几何形态中将强电场加于等离子体，使得稳态等离子体加热和约束最佳化。	new		2.2.9
bundledivertor	# 束偏滤器		环向、纵向或束偏滤器，它引出一束抽出环向通量从而在环向场内形成分界面。	new		2.2.10
carbon fibre composites	# 碳纤维复合材料	CFC	由择优取向的碳纤维及沉积的碳组成的合成材料，以提高耐热及机械强度。	new		2.2.11
central solenoid	# 中心螺线管	CS	位于离托卡马克装置中轴线最近的极向线圈。用于产生并维持等离子体电流的部件、加热并控制等离子体形状。	exists	central-solenoid	2.2.12
central solenoid model coil	# 中心螺线管模型线圈	CSMC	建在前日本原子能研究所(JAERI)的模型线圈。它是用于测试ITER(2.4.47)中心螺线管的制造和其他超导体的插入式线圈[为ITER(2.4.47)中心螺线管和环向场线圈导体提供替代品]。	new		2.2.13
compact device	# 紧凑装置		环径比接近于1的轴对称环形装置，也称为紧凑环。	new		2.2.14
compact toroid injection	# 紧凑环注入		紧凑环等离子体注入技术。	exists	compact-toroid-injection	2.2.15
correction coils	# 校正场线圈	CC	为补偿由制造、安装磁体线圈而引起的约束磁场误差而设置的线圈。	exists	correction-coils	2.2.16
critical density	# 临界密度		影响电磁波传播特性的一个等离子体密度特征值，超过这一密度值时，波不能通过等离子体传播。	new		2.2.17
critical surface	临界面		等离子体中与临界密度相对应处的那个等离子体面。	new		2.2.18
cryopump	低温泵		基于低温吸附获得高真空的原理，使用液氦或制冷机冷却的真空泵系统。	exists	cryopump	2.2.19
cryostat	低温恒温器		杜瓦 一个装容超导磁体且室温下可抽真空的真空室，它提供真空绝热层以保持磁体在低温环境中。	exists	cryostat	2.2.20
current limit	电流极限		托卡马克等离子体中可以允许通过的最大电流值。这个值的大小主要由磁场强度和等离子体的尺寸、形状所确定。	new		2.2.21
current profile control	电流分布控制		为了产生最佳的等离子体位形和改善等离子体约束而采用辅助加热和无感电流驱动的方式对等离子体电流分布进行控制的技术。	exists	current-profile-control	2.2.22
denseplasma focus device	稠密等离子体焦点装置		由两个同轴圆柱形电极和一个电容器组成的等离子体放电装置。	new		2.2.23
density control	密度控制		为了得到最佳等离子体位形，通过外部加料控制等离子体密度的方法和技术。	exists	density-control	2.2.24
divertor	偏滤器		磁约束聚变装置中，为分散热功率、排除燃料及He灰、消除或减少杂质、隔离边界产生和分开系统特意加入的杂质等而设置的装置。参见抽气偏滤器(2.2.110)、辐射偏滤器(2.2.112)。	exists	divertor	2.2.25
divertor channel	偏滤器通道		偏滤器靶板与等离子体刮削层开放磁力线构成的区域。	exists	divertor-channel	2.2.26
divertor arrangement	偏滤器结构		偏滤器箱体上面部件和抽气通道的面向等离子体的构件配置和部件结构。	new		2.2.27
divertor configuration	偏滤器位形		在有偏滤器的等离子体放电中，形成有X点的平衡磁通位形。	new		2.2.28
doublet device	双流器装置		美国早期的具有肾形截面的非圆截面托卡马克装置。	new		2.2.29
Elomobumpy torus	Elomo 波纹环	EBT	早期磁约束聚变概念，在这种概念中用微波加热产生的高比压电子环使波纹环稳定。	new		2.2.30
Elomobumpy torus-S	Elomo 波纹环-S	EBT-S	早期美国国立橡树岭实验室的有24个扇形段的环形磁捕集器。 注：这种捕集器是用微波加热来产生和维持准稳态高温等离子体的。	new		2.2.31
middleplane	中平面		赤道平面 equatorial plane 由环向场线圈一半高度确定的水平面。	new		2.2.32
equatorial port extension	赤道端口延伸		ITER(2.4.47)主真空室的每个赤道端口由位于真空室壁上的一个孔和一个焊接到该孔凸沿和一个直段上的窗孔短管组成的结构。它焊接到窗口短管上。	new		2.2.33
ergodic magnetic divertor	各态历经磁偏滤器		用等离子体边界的螺旋线圈系统来扰动等离子体边缘以利于去除杂质的偏滤器。	new		2.2.34
error fields	误差场		托卡马克装置环向场和极向场线圈的磁场分布理论上都是轴对称的，但由于磁体线圈形状制造和安装位置的偏差、电流引线、金属部件中的涡流以及铁磁物质等都会导致非轴对称磁场。其中由环向场和极向场线圈安装位置偏差引起的非轴对称磁场是误差场最主要来源。	exists	error-field	2.2.35
