# alias	preferred	status	lang	note
剥离-膨胀模	剥离-气球模	forbidden	zh	误译ballooning：正确为 剥离-气球模
剥离控制	脱靶控制	forbidden	zh	误译detachment：正确为 脱靶控制
剥落-气球模	剥离-气球模	forbidden	zh	误译peeling(剥离≠剥落)：正确为 剥离-气球模
剩余应力	残余应力	deprecated	zh	非标准(残余≠剩余)：应为 残余应力
力自由平衡	无力平衡	forbidden	zh	误译force-free：正确为 无力平衡
功率废气	功率排出	forbidden	zh	AI误译exhaust(排出≠废气)：正确为 功率排出
功率沉积剖面	功率沉积分布	deprecated	zh	非标准：应为 功率沉积分布
功率消耗	功率排出	forbidden	zh	误译exhaust(排出≠消耗)：正确为 功率排出
功率耗散	功率排出	forbidden	zh	误译exhaust(排出≠耗散)：正确为 功率排出
功率转换系统	能量转换系统	forbidden	zh	功率转换 wrong phrasing in fusion
功率门槛	功率阈值	deprecated	zh	非标准：应为 功率阈值
功率降解	功率退化	forbidden	zh	误译degradation：正确为 功率退化
功能性材料	功能材料	deprecated	zh	冗赘：应为 功能材料
加油效率	加料效率	forbidden	zh	误译fueling：聚变应为 加料效率
加热通风空调	暖通空调	forbidden	zh	啰嗦译法：正确为 暖通空调
加速器频率	回旋频率	forbidden	zh	误译cyclotron(回旋≠加速器)：正确为 回旋频率
动力学控制	动理学控制	forbidden	zh	误译kinetic(动理学≠动力学)：正确为 动理学控制
动力学气球模	动理学气球模	forbidden	zh	误译kinetic：正确为 动理学气球模
动力控制	动理学控制	forbidden	zh	误译kinetic：正确为 动理学控制
动力效应	发电机效应	forbidden	zh	误译dynamo：正确为 发电机效应
动态斯塔克效应	运动斯塔克效应	forbidden	zh	误译motional：正确为 运动斯塔克效应
动理气球模式	动理学气球模	deprecated	zh	非标准：应为 动理学气球模
动能释放率	比释动能	forbidden	zh	误译kerma：正确为 比释动能
动量传输	动量输运	forbidden	zh	误译transport：正确为 动量输运
动量转移	动量输运	forbidden	zh	误译transport：正确为 动量输运
劳森准则	劳森判据	deprecated	zh	非标准：应为 劳森判据
劳森条件	劳森判据	deprecated	zh	非标准：应为 劳森判据
劳森标准	劳森判据	deprecated	zh	非标准：应为 劳森判据
包皮层	包层	forbidden	zh	错误用词，应为"包层"
匍匐	蠕变	forbidden	zh	误译creep：材料学应为 蠕变
化学侵蚀	化学腐蚀	deprecated	zh	非标准变体：应为 化学腐蚀
化学喷射	化学溅射	forbidden	zh	误译sputtering(溅射≠喷射)：正确为 化学溅射
化学喷溅	化学溅射	forbidden	zh	误译sputtering(溅射≠喷溅)：正确为 化学溅射
化学腐蚀损伤	化学腐蚀	deprecated	zh	啰嗦：应为 化学腐蚀
化学蚀刻	化学腐蚀	forbidden	zh	etching≠erosion：正确为 化学腐蚀
化学飞溅	化学溅射	forbidden	zh	误译sputtering(溅射≠飞溅)：正确为 化学溅射
区域流	带状流	forbidden	zh	误译zonal：正确为 带状流
协同沉积	共沉积	forbidden	zh	误译co-(共≠协同)：正确为 共沉积
单空位形	单零位形	forbidden	zh	误译：正确为 单零位形
单螺旋状态	单螺旋态	deprecated	zh	非标准(态≠状态)：应为 单螺旋态
单零点	单零位形	forbidden	zh	误译null：正确为 单零位形
博姆扩散	玻姆扩散	deprecated	zh	音译变体：应为 玻姆扩散
卡蒂亚	CATIA	forbidden	zh	AI transliteration of software name
压力台座	压力基座	forbidden	zh	误译pedestal：正确为 压力基座
压力底座	压力基座	forbidden	zh	误译pedestal：正确为 压力基座
压力驱动模式	压力驱动模	deprecated	zh	非标准：应为 压力驱动模
压强驱动模	压力驱动模	forbidden	zh	误译pressure(压力≠压强)：正确为 压力驱动模
原型反应堆	原型堆	deprecated	zh	非标准：应为 原型堆
原子位移	离位损伤	deprecated	zh	非标准：应为 离位损伤 (dpa)
原硅酸锂	正硅酸锂	forbidden	zh	误译ortho-：正确为 正硅酸锂
去皮-气球模	剥离-气球模	forbidden	zh	误译peeling(剥离≠去皮)：正确为 剥离-气球模
参量不稳定性	参数不稳定性	deprecated	zh	非标准变体：应为 参数不稳定性
及时再堆积	即时再沉积	forbidden	zh	误译prompt+redeposition：正确为 即时再沉积
双液体模型	双流体模型	forbidden	zh	误译fluid：正确为 双流体模型
双空位形	双零位形	forbidden	zh	误译：正确为 双零位形
双重冷却锂铅包层	双冷锂铅包层	forbidden	zh	冗译：正确为 双冷锂铅包层
双零点	双零位形	forbidden	zh	误译null：正确为 双零位形
反向剪切	反磁剪切	forbidden	zh	缺字'磁'：正确为 反磁剪切
反向场收缩	反场箍缩	forbidden	zh	误译pinch：正确为 反场箍缩
反场收缩	反场箍缩	forbidden	zh	误译pinch：正确为 反场箍缩
反复侵蚀	再侵蚀	forbidden	zh	误译re-(再≠反复)：正确为 再侵蚀
反射测量仪	反射仪	forbidden	zh	误译：正确为 反射仪
反射测量法	反射仪	forbidden	zh	误译：正确为 反射仪
反射计	反射仪	deprecated	zh	非标准：聚变应为 反射仪
反应率系数	反应速率系数	deprecated	zh	缺字'速'：应为 反应速率系数
反弹频率	弹跳频率	forbidden	zh	误译bounce：正确为 弹跳频率
反磁信号	反磁通信号	forbidden	zh	简称不够规范：缺少"通"
反磁漂移	抗磁漂移	forbidden	zh	误译dia-：正确为 抗磁漂移
反磁环	抗磁环	forbidden	zh	误译dia-：正确为 抗磁环
发光放电清洁	辉光放电清洗	forbidden	zh	误译glow：正确为 辉光放电清洗
发电机效果	发电机效应	forbidden	zh	误译effect：正确为 发电机效应
变脆	脆化	forbidden	zh	误译embrittlement(脆化≠变脆)：正确为 脆化
可拆接头	可拆卸接头	deprecated	zh	缺字：应为 可拆卸接头
可焊接性	可焊性	deprecated	zh	啰嗦(可焊性≠可焊接性)：应为 可焊性
可用性	可用率	forbidden	zh	误译availability(堆工程应为比率)：正确为 可用率
台座宽度	基座宽度	forbidden	zh	误译pedestal：正确为 基座宽度
台阶输运	阶梯输运	deprecated	zh	非标准：应为 阶梯输运
同位素分割	同位素分离	forbidden	zh	误译separation(分离≠分割)：正确为 同位素分离
同位素分选	同位素分离	forbidden	zh	误译separation(分离≠分选)：正确为 同位素分离
同位素分选系统	同位素分离系统	forbidden	zh	误译separation：正确为 同位素分离系统
同位素效果	同位素效应	forbidden	zh	误译effect(效应≠效果)：正确为 同位素效应
同位素隔离	同位素分离	forbidden	zh	误译separation(分离≠隔离)：正确为 同位素分离
同时沉积	共沉积	forbidden	zh	误译co-(共≠同时)：正确为 共沉积
同步加速器辐射	同步辐射	forbidden	zh	啰嗦/误译：正确为 同步辐射
同轴等离子枪	同轴等离子体枪	forbidden	zh	缺字'体'：正确为 同轴等离子体枪
同轴螺旋注入	同轴螺旋度注入	forbidden	zh	缺字'度'：正确为 同轴螺旋度注入
后板	背板	forbidden	zh	误译back：正确为 背板
后续热	衰变热	forbidden	zh	误译after：正确为 余热/衰变热
含氚水处理系统	水除氚系统	deprecated	zh	非标准：应为 水除氚系统
启动比例	自举电流份额	forbidden	zh	误译bootstrap：正确为 自举电流份额
启动电流	自举电流	forbidden	zh	误译bootstrap：正确为 自举电流
吸收剂床	吸气剂床	forbidden	zh	误译getter(吸气剂≠吸收剂)：正确为 吸气剂床
吸收辐射量	吸收剂量	forbidden	zh	非规范(吸收剂量≠吸收辐射量)：正确为 吸收剂量
吸收量	吸收剂量	forbidden	zh	过于笼统(缺"剂量")：正确为 吸收剂量
吸附剂床	吸气剂床	forbidden	zh	误译getter(吸气剂≠吸附剂)：正确为 吸气剂床
吸附模式	贴靠模式	forbidden	zh	误译(adsorption≠attached)：正确为 贴靠模式
吹气	充气	forbidden	zh	误译gas puffing：正确为 充气
周边剂量当量	周围剂量当量	deprecated	zh	非标准(周围≠周边)：应为 周围剂量当量
喷射	溅射	forbidden	zh	误译sputtering：正确为 溅射
喷溅	溅射	forbidden	zh	误译sputtering：正确为 溅射
囊壳内爆	靶丸内爆	deprecated	zh	非标准：应为 靶丸内爆
回合加加	BOUT++	forbidden	zh	literal translation of BOUT++ token
回收	再循环	forbidden	zh	误用废品义：等离子体壁义应为 再循环
回收率	再循环系数	forbidden	zh	误译recycling(再循环≠回收)：正确为 再循环系数
回收系数	再循环系数	forbidden	zh	误译recycling：正确为 再循环系数
回旋Bohm标度	旋回Bohm标度	forbidden	zh	误译gyro(旋回≠回旋)：正确为 旋回Bohm标度
回旋玻姆缩放	旋回Bohm标度	forbidden	zh	误译gyro+scaling(标度≠缩放)：正确为 旋回Bohm标度
回旋频	回旋频率	deprecated	zh	缺'率'字：应为 回旋频率
回流功率	循环功率	forbidden	zh	误译recirculating：正确为 循环功率
回转频率	回旋频率	forbidden	zh	误译cyclotron(回旋≠回转)：正确为 回旋频率
回馈控制	反馈控制	deprecated	zh	非标准：应为 反馈控制
固有旋转	本征旋转	deprecated	zh	非标准：应为 本征旋转
国家点火设施	NIF	forbidden	zh	非官方中文(装置名应保留 NIF)
国际原子能组织	国际原子能机构	forbidden	zh	误译(机构≠组织)：正确为 国际原子能机构
国际融合材料辐照设施	国际聚变材料辐照装置	forbidden	zh	误译fusion+facility：正确为 国际聚变材料辐照装置
场反转构型	场反位形	deprecated	zh	非标准：应为 场反位形
场反转配置	场反位形	forbidden	zh	误译configuration：正确为 场反位形
场线追踪	磁力线追踪	forbidden	zh	场线 non-standard; use 磁力线
均自由程	平均自由程	forbidden	zh	缺'平'字：正确为 平均自由程
垂直冷却	横向冷却	forbidden	zh	误译perpendicular(非垂直)：正确为 横向冷却
城垛	切槽结构	forbidden	zh	误译castellation(切槽≠城垛)：正确为 切槽结构
城垛结构	切槽结构	forbidden	zh	误译castellation(工程切槽≠城垛)：正确为 切槽结构
城堡化	切槽结构	forbidden	zh	误译castellation(切槽≠城堡)：正确为 切槽结构
培育包层	产氚包层	forbidden	zh	误译breeding：正确为 产氚包层
培育区	增殖区	forbidden	zh	误译breeding：正确为 增殖区
基因代码	GENE	forbidden	zh	wrong lexical translation of code name
基底压力	本底气压	forbidden	zh	误译base+pressure：正确为 本底气压
基础气压	本底气压	forbidden	zh	误译base：正确为 本底气压
塑脆转变	韧脆转变温度	forbidden	zh	误译ductile(韧≠塑)：正确为 韧脆转变温度
墙	壁	forbidden	zh	AI误译wall(工程壁≠建筑墙)：正确为 壁
墙壁	壁	forbidden	zh	AI误译wall(工程壁≠建筑墙壁)：正确为 壁
墙处理	壁调理	forbidden	zh	AI误译wall(壁≠墙)：正确为 壁调理
增强因子	H因子	deprecated	zh	缺修饰(约束)：应为 H因子/约束增强因子
增殖毯	产氚包层	forbidden	zh	误译breeding+blanket：正确为 产氚包层
增殖者材料	增殖材料	forbidden	zh	AI误译breeder(增殖材料≠增殖者材料)：正确为 增殖材料
增益弯曲	增益曲线	forbidden	zh	误译curve：正确为 增益曲线
增量f法	δf方法	deprecated	zh	非标准：应为 δf方法
壁处理	壁调理	deprecated	zh	笼统化：应为 壁调理
壁泵浦	壁抽气	forbidden	zh	误译pumping(光学义泵浦)：正确为 壁抽气
壁泵送	壁抽气	forbidden	zh	误译pumping：正确为 壁抽气
壁清洁	壁调理	forbidden	zh	不规范：正确为 壁调理
壁调节	壁调理	deprecated	zh	非标准：应为 壁调理
壁面处理	壁调理	deprecated	zh	非推荐：应为 壁调理
壁面泵浦	壁抽气	forbidden	zh	误译pumping(光学义泵浦)：正确为 壁抽气
壁面调节	壁调理	deprecated	zh	非标准：应为 壁调理
夏弗拉诺夫位移	沙弗拉诺夫位移	deprecated	zh	音译变体：应为 沙弗拉诺夫位移
夏比撞击	夏比冲击	forbidden	zh	误译impact(冲击≠撞击)：正确为 夏比冲击
外扭折模	外扭曲模	forbidden	zh	误译kink(扭曲≠扭折)：正确为 外扭曲模
外扭曲模式	外扭曲模	deprecated	zh	非标准：应为 外扭曲模
外扭结模	外扭曲模	forbidden	zh	误译kink(扭曲≠扭结)：正确为 外扭曲模
外部扭折模	外扭曲模	forbidden	zh	误译kink+external：正确为 外扭曲模
外部扭曲模	外扭曲模	forbidden	zh	误译external(外≠外部)：正确为 外扭曲模
多内斯	DONES	forbidden	zh	wrong transliteration of acronym
多普勒反向散射	多普勒背散射	forbidden	zh	误译back-：正确为 多普勒背散射
多普勒增宽	多普勒展宽	forbidden	zh	误译broadening：正确为 多普勒展宽
多路放电	二次电子倍增放电	forbidden	zh	误译multipactor：正确为 二次电子倍增放电
多重放电	二次电子倍增放电	forbidden	zh	误译multipactor：正确为 二次电子倍增放电
大地声波模式	测地声模	forbidden	zh	误译geodesic：正确为 测地声模
大小缩放	尺寸标度	forbidden	zh	误译size+scaling：正确为 尺寸标度
大螺旋装置	大型螺旋装置	forbidden	zh	缺字'型'：正确为 大型螺旋装置
大规模气体注射	大量气体注入	forbidden	zh	误译injection：正确为 大量气体注入
大量侵蚀	总侵蚀	forbidden	zh	误译gross(总≠大量)：正确为 总侵蚀
天空闪烁	天空反照	forbidden	zh	误译skyshine：正确为 天空反照
天线加载	天线负载	forbidden	zh	误译loading：正确为 天线负载
天线连接	天线耦合	forbidden	zh	误译coupling：正确为 天线耦合
天线配对	天线耦合	forbidden	zh	误译coupling：正确为 天线耦合
天际辐射	天空反照	forbidden	zh	误译skyshine：正确为 天空反照
失去冷却剂事故	失冷事故	deprecated	zh	冗长，规范为"失冷事故"
失去流量事故	失流事故	deprecated	zh	冗长，规范为"失流事故"
失控电子	逃逸电子	forbidden	zh	误译runaway：正确为 逃逸电子
失控电子损伤	逃逸电子损伤	forbidden	zh	误译runaway：正确为 逃逸电子损伤
夹缩参数	箍缩参数	forbidden	zh	误译pinch：正确为 箍缩参数
奇偶旋转磁场	奇宇称旋转磁场	forbidden	zh	误译odd-parity(奇宇称≠奇偶)：正确为 奇宇称旋转磁场
奇奇偶性旋转磁场	奇宇称旋转磁场	forbidden	zh	误译parity：正确为 奇宇称旋转磁场
存储和交付系统	燃料储存与供应系统	forbidden	zh	误译delivery(供应≠交付)：正确为 燃料储存与供应系统
存储能量	等离子体储能	forbidden	zh	误译：正确为 等离子体储能
学习速率	学习率	deprecated	zh	堆经济语境非标准：应为 学习率
安全分类	安全分级	forbidden	zh	误译classification：此语境应为 安全分级
安全参数	安全因子	forbidden	zh	误译factor(因子≠参数)：正确为 安全因子
安全案例	安全论证	forbidden	zh	误译case：正确为 安全论证
安全系数	安全因子	deprecated	zh	非标准：聚变(q)应为 安全因子
安系统	ANSYS	forbidden	zh	literal transliteration split
安静H模	静默H模	forbidden	zh	误译quiescent：正确为 静默H模
完全f方法	全f方法	forbidden	zh	误译full(全≠完全)：正确为 全f方法
完全非电感运行	完全非感应运行	forbidden	zh	误译inductive：正确为 完全非感应运行
定期维护	计划维护	forbidden	zh	误译scheduled(计划≠定期)：正确为 计划维护
定标律	约束标度律	deprecated	zh	非标准：应为 标度律/约束标度律
实际时间控制	实时控制	forbidden	zh	误译real-time：正确为 实时控制
容器内LOCA	真空室内失冷事故	forbidden	zh	误译vessel：正确为 真空室内失冷事故
容器外LOCA	真空室外失冷事故	forbidden	zh	误译vessel：正确为 真空室外失冷事故
容量系数	容量因子	forbidden	zh	误译factor：正确为 容量因子
宽高比	纵横比	forbidden	zh	误译：通用IT义，聚变应为 纵横比
密度上限	密度极限	forbidden	zh	误译limit：聚变应为 密度极限
密度尖化	密度峰化	forbidden	zh	误译peaking：正确为 密度峰化
密度峰值化	密度峰化	forbidden	zh	误译peaking：正确为 密度峰化
密度抽出	密度泵出	deprecated	zh	非标准：应为 密度泵出
密度调控	密度控制	forbidden	zh	误译control：正确为 密度控制
密度限制	密度极限	forbidden	zh	误译limit：聚变应为 密度极限
密集等离子体焦点	稠密等离子体焦点	forbidden	zh	误译dense(稠密≠密集)：正确为 稠密等离子体焦点
导波管	波导	deprecated	zh	非标准：应为 波导
导流线	电流引线	deprecated	zh	非标准：应为 电流引线
导热性	热导率	deprecated	zh	非标准(定性描述≠定量参数)：应为 热导率
封锁	磁约束	forbidden	zh	误译confinement：正确为 约束
封闭	磁约束	forbidden	zh	误译confinement：正确为 约束
封闭分流器	封闭偏滤器	forbidden	zh	误译divertor：正确为 封闭偏滤器
封闭时间	能量约束时间	forbidden	zh	误译confinement(约束≠封闭)：正确为 能量约束时间
封闭标度律	约束标度律	forbidden	zh	误译confinement：正确为 约束标度律
射线损伤	辐照损伤	deprecated	zh	非标准：应为 辐照损伤
少数派加热	少数粒子加热	forbidden	zh	误译minority：正确为 少数粒子加热
少量加热	少数粒子加热	forbidden	zh	误译minority：正确为 少数粒子加热
尖峰热流	峰值热流密度	forbidden	zh	误译peak(峰值≠尖峰)：正确为 峰值热流密度
尺寸缩放	尺寸标度	forbidden	zh	误译scaling(标度≠缩放)：正确为 尺寸标度
屈服力	屈服强度	forbidden	zh	误译strength(强度≠力)：正确为 屈服强度
屏蔽渗透	屏蔽穿透	forbidden	zh	误译penetration：正确为 屏蔽穿透
屏蔽评估	屏蔽分析	deprecated	zh	非标准(分析≠评估)：应为 屏蔽分析
屏蔽迷宫	迷宫通道	deprecated	zh	非标准：应为 迷宫通道
展弦比	纵横比	forbidden	zh	误译：航空术语，聚变应为 纵横比
岁差漂移	进动漂移	forbidden	zh	误译precession：正确为 进动漂移
岛分流器	岛偏滤器	forbidden	zh	误译divertor：正确为 岛偏滤器
峰值热通量	峰值热流密度	forbidden	zh	误译flux(热流密度≠热通量)：正确为 峰值热流密度
工作剂量	职业剂量	forbidden	zh	误译occupational(职业≠工作)：正确为 职业剂量
工作流程自动化	工作流自动化	deprecated	zh	冗赘(流≠流程)：应为 工作流自动化
工厂余额	电站辅助系统	forbidden	zh	误译balance：正确为 电站辅助系统
工厂寿命	电站寿命	forbidden	zh	误译plant：聚变应为 电站寿命
工厂布局	电站布局	forbidden	zh	误译plant：聚变应为 电站布局
工厂平衡	电站辅助系统	forbidden	zh	误译balance：正确为 电站辅助系统
工程收益	工程增益因子	forbidden	zh	误译gain：正确为 工程增益因子
巨人4	Geant4	forbidden	zh	AI translates French géant as 巨人
已提交剂量	待积剂量	forbidden	zh	AI误译committed(待积≠已提交)：正确为 待积剂量
布拉顿循环	布雷顿循环	forbidden	zh	音译错：正确为 布雷顿循环
布莱顿循环	布雷顿循环	forbidden	zh	音译错：正确为 布雷顿循环
干扰仪	干涉仪	forbidden	zh	误译interference：正确为 干涉仪
干扰缓解	破裂缓解	forbidden	zh	误译disruption：正确为 破裂缓解
干涉仪法	干涉仪	deprecated	zh	非标准(干涉法≠干涉仪法)：应为 干涉法
干涉学	干涉仪	forbidden	zh	误译-metry(法≠学)：正确为 干涉法
干涉测量术	干涉仪	deprecated	zh	啰嗦(干涉法≠干涉测量术)：应为 干涉法
平台区	坪区	forbidden	zh	误译plateau：正确为 坪区
平台期	平顶段	forbidden	zh	误译flat-top(医学/经济义)：正确为 平顶段
平均自由行程	平均自由程	deprecated	zh	非标准：应为 平均自由程
平均自由路径	平均自由程	forbidden	zh	误译path(程≠路径)：正确为 平均自由程
平均自由道路	平均自由程	forbidden	zh	误译path(程≠道路)：正确为 平均自由程
平行传输	平行输运	forbidden	zh	误译transport：正确为 平行输运
平行热通量	平行热流	deprecated	zh	非标准：应为 平行热流
平行热量流	平行热流	forbidden	zh	误译heat flux：正确为 平行热流
平衡重构	平衡重建	deprecated	zh	非标准：应为 平衡重建
平静H模式	静默H模	forbidden	zh	误译quiescent+mode：正确为 静默H模
并联冷却	平行冷却	forbidden	zh	误译parallel(非并联)：正确为 平行冷却
并行冷却	平行冷却	forbidden	zh	误译parallel(非并行)：正确为 平行冷却
并行热流	平行热流	forbidden	zh	误译parallel(平行≠并行)：正确为 平行热流
并行输运	平行输运	forbidden	zh	误译parallel(计算机义)：正确为 平行输运
库仑冲突	库仑碰撞	forbidden	zh	误译collision：正确为 库仑碰撞
库仑障碍	库仑势垒	forbidden	zh	误译barrier：正确为 库仑势垒
库伦对数	库仑对数	deprecated	zh	音译变体：应为 库仑对数
库伦碰撞	库仑碰撞	deprecated	zh	音译变体：应为 库仑碰撞
应力强度系数	应力强度因子	deprecated	zh	非标准(因子≠系数)：应为 应力强度因子
应力敏感性	应变敏感性	forbidden	zh	混淆strain/stress：正确为 应变敏感性
应力腐蚀断裂	应力腐蚀开裂	forbidden	zh	误译cracking(开裂≠断裂)：正确为 应力腐蚀开裂
应力腐蚀破裂	应力腐蚀开裂	deprecated	zh	非标准(开裂≠破裂)：应为 应力腐蚀开裂
应力腐蚀裂纹	应力腐蚀开裂	deprecated	zh	名词形式不当：应为 应力腐蚀开裂
应力集中因子	应力强度因子	forbidden	zh	与应力集中系数(SCF)混淆：正确为 应力强度因子
底座	台基	forbidden	zh	误译pedestal：聚变语境正确为 台基
底座宽度	基座宽度	forbidden	zh	误译pedestal：正确为 基座宽度
废气处理	托卡马克排气处理系统	forbidden	zh	误译exhaust(环保义)：聚变应为 排气/尾气处理
废热回收	余热回收	forbidden	zh	误译waste(余热≠废热)：正确为 余热回收
废物分类	废物分级	forbidden	zh	误译classification(分级≠分类)：正确为 废物分级
康索尔	COMSOL	forbidden	zh	AI transliteration of software name
延伸MHD	扩展MHD	forbidden	zh	误译extended：正确为 扩展MHD
延伸率	等离子体拉长比	forbidden	zh	误译：材料学术语，聚变应为 拉长比
延脆转变	韧脆转变温度	forbidden	zh	误译ductile(韧≠延)：正确为 韧脆转变温度
建设时间表	建造进度	forbidden	zh	误译schedule：正确为 建造进度
开放蒙特卡罗	OpenMC	forbidden	zh	literal translation of project name
开裂	裂纹	deprecated	zh	非标准：聚变应为 裂纹
异常传输	反常输运	forbidden	zh	误译：聚变应为 反常输运
异常输运	反常输运	deprecated	zh	非标准：应为 反常输运
引导分数	自举电流份额	forbidden	zh	误译bootstrap+fraction：正确为 自举电流份额
引导生成	自举电流产生	forbidden	zh	误用CS义：正确为 自举电流产生
引导电流	自举电流	forbidden	zh	误译bootstrap：正确为 自举电流
引导电流优化	自举电流优化	forbidden	zh	误译bootstrap：正确为 自举电流优化
引燃	点火	forbidden	zh	误译ignition(聚变义)：正确为 点火
引燃条件	点火条件	forbidden	zh	引燃=lighting a fire
弗伦克尔对	Frenkel缺陷对	forbidden	zh	误音译+缺'缺陷'：正确为 Frenkel缺陷对
弗伦克缺陷	Frenkel缺陷对	forbidden	zh	误音译+缺'对'：正确为 Frenkel缺陷对
弗拉索夫方程	Vlasov方程	forbidden	zh	误音译人名：正确保留 Vlasov方程
张力测试	拉伸试验	forbidden	zh	误译tensile(拉伸≠张力)：正确为 拉伸试验
弧	ARC	forbidden	zh	误混同名词(装置名应保留 ARC)
弧光放电	电弧	deprecated	zh	非标准：应为 电弧
弯折模	扭曲模	forbidden	zh	误译kink(扭曲≠弯折)：正确为 扭曲模
弯曲漂移	曲率漂移	forbidden	zh	误译curvature：正确为 曲率漂移
弹丸注射	弹丸注入	forbidden	zh	误译injection(注入非注射)：正确为 弹丸注入
弹丸熔蚀	弹丸烧蚀	deprecated	zh	非标准：应为 弹丸烧蚀
弹力模量	弹性模量	forbidden	zh	误译elastic(弹性≠弹力)：正确为 弹性模量
弹性模数	弹性模量	forbidden	zh	误译modulus(模量≠模数)：正确为 弹性模量
强X射线	硬X射线	forbidden	zh	误译hard(硬≠强)：正确为 硬X射线
归纳运行	感应运行	forbidden	zh	误译inductive：正确为 感应运行
待积有效辐射量	待积有效剂量	forbidden	zh	误译dose(剂量≠辐射量)：正确为 待积有效剂量
循环系数	再循环系数	deprecated	zh	缺再字：应为 再循环系数
微撕裂模式	微撕裂模	deprecated	zh	非标准：应为 微撕裂模
微断裂模	微撕裂模	forbidden	zh	误译tearing：正确为 微撕裂模
德拜壳	德拜鞘	forbidden	zh	误译sheath(鞘≠壳)：正确为 德拜鞘
德拜套	德拜鞘	forbidden	zh	误译sheath(鞘≠套)：正确为 德拜鞘
德拜屏蔽层	德拜鞘	forbidden	zh	误译sheath(鞘≠屏蔽层)：正确为 德拜鞘
德拜距离	德拜长度	forbidden	zh	误译length：正确为 德拜长度
德拜遮蔽	德拜屏蔽	forbidden	zh	遮蔽 not standard for plasma shielding
德拜防护	德拜屏蔽	forbidden	zh	防护=protection, wrong domain
德拜鞘层	德拜鞘	deprecated	zh	啰嗦：应为 德拜鞘
快速再沉积	即时再沉积	deprecated	zh	非标准：应为 即时再沉积
快速损失	瞬时损失	forbidden	zh	误译prompt：正确为 瞬时损失
快速波	快波	deprecated	zh	非标准：应为 快波
快速点火	快点火	deprecated	zh	非标准：应为 快点火
总体剂量	集体剂量	forbidden	zh	误译collective(集体≠总体)：正确为 集体剂量
恒星器	仿星器	forbidden	zh	误译stellar：正确为 仿星器
恒星器优化	仿星器优化	forbidden	zh	误译stellarator：正确为 仿星器优化
惯性封闭聚变	惯性约束聚变	forbidden	zh	误译confinement：正确为 惯性约束聚变
惯性限制聚变	惯性约束聚变	forbidden	zh	误译confinement：正确为 惯性约束聚变
手套柜	手套箱	forbidden	zh	误译glovebox(手套箱≠手套柜)：正确为 手套箱
手套盒	手套箱	forbidden	zh	误译box(箱≠盒)：正确为 手套箱
打击位置	打击点	deprecated	zh	非标准：应为 打击点
打击板	偏滤器靶板	forbidden	zh	非标准：聚变应为 靶板/偏滤器靶板
托克马克	托卡马克	forbidden	zh	音译变体：正确为 托卡马克
托克马科	托卡马克	forbidden	zh	音译变体：正确为 托卡马克
托姆逊散射	Thomson scattering	forbidden	zh	音译错：正确为 汤姆逊散射
托马斯散射	Thomson scattering	forbidden	zh	音译错：正确为 汤姆逊散射
扣留	燃料滞留	forbidden	zh	误译retention：正确为 滞留
执照	许可证	forbidden	zh	误译licensing：正确为 许可证
扩张节	膨胀节	forbidden	zh	误译expansion(膨胀≠扩张)：正确为 膨胀节
扩散焊接	扩散连接	forbidden	zh	误译bonding(连接≠焊接)：正确为 扩散连接
扩散粘合	扩散连接	forbidden	zh	误译bonding(连接≠粘合)：正确为 扩散连接
扩散键合	扩散连接	forbidden	zh	AI误译bonding(化学义键合≠工程义连接)：正确为 扩散连接
扬氏模量	杨氏模量	forbidden	zh	错别字(杨≠扬)：正确为 杨氏模量
扭折模	扭曲模	forbidden	zh	误译kink：正确为 扭曲模
扭曲模式	扭曲模	deprecated	zh	非标准：应为 扭曲模
扭结模	扭曲模	forbidden	zh	误译kink：正确为 扭曲模
扰动	破裂	forbidden	zh	误译disruption：聚变语境正确为 破裂
承担剂量	待积剂量	forbidden	zh	AI误译committed(待积≠承担)：正确为 待积剂量
承诺剂量	待积剂量	forbidden	zh	AI误译committed(待积≠承诺)：正确为 待积剂量
承诺有效剂量	待积有效剂量	forbidden	zh	AI误译committed(待积≠承诺)：正确为 待积有效剂量
技术准备水平	技术就绪度	forbidden	zh	误译：正确为 技术就绪度
技术就绪水平	技术就绪度	forbidden	zh	误译level：正确为 技术就绪度
技术成熟度	技术就绪度	deprecated	zh	非标准变体：应为 技术就绪度
抗磁偏移	抗磁漂移	forbidden	zh	误译drift：正确为 抗磁漂移
折流板	挡板	deprecated	zh	化工义：聚变应为 挡板
护甲瓦片	装甲瓦	forbidden	zh	误译armor+tile：正确为 装甲瓦
拆卸关节	可拆卸接头	forbidden	zh	误译joint：正确为 可拆卸接头
拉伸比	等离子体拉长比	forbidden	zh	误译：聚变语境应为 等离子体拉长比
拉伸测试	拉伸试验	deprecated	zh	非标准(试验≠测试)：应为 拉伸试验
拉力试验	拉伸试验	forbidden	zh	误译tensile(拉伸≠拉力)：正确为 拉伸试验
拉莫半径	拉莫尔半径	deprecated	zh	非标准：应为 拉莫尔半径
拉莫尔回旋半径	拉莫尔半径	deprecated	zh	啰嗦：应为 拉莫尔半径
拉莫频率	回旋频率	forbidden	zh	误音译Larmor(拉莫尔≠拉莫)：正确为 拉莫尔频率
拔靴电流	自举电流	forbidden	zh	误译bootstrap：正确为 自举电流
拟对称	准对称	deprecated	zh	非标准：应为 准对称
拟对称仿星器	准对称仿星器	forbidden	zh	拟对称 non-standard; use 准对称
